Player,avg_drive_dist,accuracy_measure,experience_measure,prop_top10s
Zecheng Dou,291.9,2844.2344,1113,0
Zach Johnson,290.1,2871.114,3780,0.083333333
Zac Blair,279.5,2715.6252,1856,0
Xinjun Zhang,298.7,4277.8084,2511,0.035714286
Xander Schauffele,304.6,4209.4728,2112,0.2
William McGirt,289.3,2936.4067,2856,0.115384615
Whee Kim,285.8,2399.1786,2418,0.1
Wesley Bryan,280.4,1826.3136,2208,0
Webb Simpson,293.6,3277.0644,2871,0.291666667
Vaughn Taylor,286.1,3093.3082,2988,0.12
Tyrrell Hatton,298.2,3071.0773,1728,0.266666667
Tyrone Van Aswegen,290.3,2586.3222,3333,0.032258065
Tyler Duncan,294.4,4170.0271,2910,0.064516129
Troy Merritt,295.4,3511.494,2759,0.111111111
Trey Mullinax,318.7,3637.4768,2025,0.125
Tony Finau,316.3,3920.147,2716,0.384615385
Tommy Fleetwood,307.5,4498.0203,1755,0.294117647
Tom Lovelady,315.9,4028.128,3567,0.071428571
Tom Hoge,291.4,3401.8107,4545,0.096774194
Tiger Woods,303.5,3062.9043,2520,0.3125
Ted Potter Jr,286,3085.6472,2573,0.037037037
Talor Gooch,298.9,3282.1437,2028,0
Sung Kang,293.1,2963.0528,2759,0.068965517
Stewart Cink,298.1,3119.04,3915,0.12
Steve Wheatcroft,288.9,4112.7247,2040,0.05
Stephan Jaeger,299.2,3499.7456,2592,0
Smylie Kaufman,297.1,2127.468,1225,0.045454545
Si Woo Kim,290.6,3689.0808,2912,0.166666667
Shawn Stefani,299.6,3105.774,2660,0.04
Shane Lowry,300.3,3759.4032,2176,0
Sean OHair,302.7,3594.5838,2211,0.090909091
Seamus Power,302.6,3146.9338,2666,0.071428571
Scott Stallings,299.7,3274.2952,3648,0.066666667
Scott Piercy,296.3,3401.541,2880,0.08
Scott Brown,292.6,3265.8795,3672,0.0625
Satoshi Kodaira,293.2,3122.4582,1734,0.055555556
Sam Saunders,302.8,4069.6738,2640,0.153846154
Sam Ryder,297.3,4097.5684,2378,0.115384615
Ryan Palmer,305.7,4031.5136,2535,0.142857143
Ryan Moore,289.2,4052.3802,2886,0.227272727
Ryan Blaum,289,3470.8107,2673,0.071428571
Ryan Armour,284.2,2676.8824,3780,0.096774194
Russell Knox,291.7,3062.505,2914,0.111111111
Russell Henley,292.5,4021.72,2233,0.130434783
Rory Sabbatini,292.3,3602.0025,3276,0.037037037
Rory McIlroy,320.2,3884.3532,1624,0.3125
Rod Pampling,288.4,3629.0562,2976,0
Roberto Diaz,286.3,3077.208,2304,0
Robert Streb,292.6,2718.4864,2652,0.034482759
Robert Garrigus,307.9,3832.0326,2640,0.037037037
Rob Oppenheim,285.2,2353.9184,2294,0
Ricky Barnes,290.6,2385.79,2535,0.045454545
Rickie Fowler,301.1,3769.2567,1914,0.222222222
Richy Werenski,292.2,3510.8208,3430,0.0625
Retief Goosen,296.2,2853.7696,2940,0.05
Rafa Cabrera Bello,295.6,3947.2335,2556,0.263157895
Phil Mickelson,299.9,3172.7679,3936,0.272727273
Peter Uihlein,301.3,3007.7856,2686,0.16
Peter Malnati,290.9,2759.4158,2610,0
