Player,EVENTS_PLAYED,NUMBER_OF_TOP_Tens,ROUNDS_PLAYED,AVG_Driving_DISTANCE,FAIRWAY_HIT,GOING_FOR_GREEN_IN_2,AGE,accuracy_measure,experience_measure
Kevin Tway,31,3,110,310.1,52.61,67.56,33,3554.3316,3630
Ryan Armour,31,3,105,284.2,73.46,36.44,36,2676.8824,3780
Si Woo Kim,30,5,104,290.6,59.81,61.68,28,3689.0808,2912
Chris Kirk,28,4,104,290.2,64.02,49.4,34,3162.588,3536
Brian Stuard,32,3,103,278.4,71.21,29.41,35,2094.2861,3605
Austin Cook,28,3,103,292.5,66.3,53.12,27,3521.856,2781
Scott Brown,32,2,102,292.6,62.03,52.65,36,3265.8795,3672
Brandon Harkins,30,3,101,303.1,54.79,62.06,32,3400.2674,3232
Tyrone Van Aswegen,31,1,101,290.3,56.98,45.39,33,2586.3222,3333
Tom Hoge,31,3,101,291.4,62.43,54.49,45,3401.8107,4545
Charles Howell III,27,4,100,300.8,62.36,55.34,39,3451.0024,3900
Beau Hossler,27,5,100,300.1,60.1,56.76,23,3411.276,2300
C.T. Pan,29,2,100,292.6,68.57,57.93,26,3972.2601,2600
Chesson Hadley,29,7,99,300.1,59.42,52.98,31,3148.0716,3069
Brian Gay,29,6,99,282.8,70.36,37.79,46,2658.9044,4554
Richy Werenski,32,2,98,292.2,65.16,53.88,35,3510.8208,3430
Tony Finau,26,10,97,316.3,53.9,72.73,28,3920.147,2716
Patrick Rodgers,30,3,97,303.4,60.92,57.37,26,3494.9804,2522
Corey Conners,28,1,97,303.3,62.99,56.52,26,3560.1948,2522
Tyler Duncan,31,2,97,294.4,66.37,62.83,30,4170.0271,2910
Scott Stallings,30,2,96,299.7,55.99,58.48,38,3274.2952,3648
Keith Mitchell,28,4,95,312.9,58.19,71.72,34,4173.3868,3230
Jason Kokrak,28,4,95,309.7,57.8,69.52,33,4018.256,3135
Brice Garnett,29,2,95,296.7,64.3,50.89,35,3272.227,3325
Luke List,28,5,94,315.2,54.09,78.44,29,4242.8196,2726
Nick Watney,26,1,94,307.5,56.33,56.71,37,3194.4743,3478
Nick Taylor,30,2,94,292.7,60.94,56.99,30,3472.9706,2820
John Huh,29,2,94,287.1,63.83,51.88,35,3311.5004,3290
Russell Knox,27,3,94,291.7,66.94,45.75,31,3062.505,2914
Abraham Ancer,29,5,94,296.3,63.06,59.87,27,3775.4022,2538
Kelly Kraft,31,3,94,288.6,65.84,46.3,26,3048.392,2444
Kevin Streelman,27,5,94,295.1,69.11,55.97,38,3868.0867,3572
Andrew Putnam,27,5,93,294.2,60.4,53.36,29,3222.944,2697
Whee Kim,30,3,93,285.8,61.11,39.26,26,2399.1786,2418
Joel Dahmen,28,3,93,295.8,66.36,60.39,32,4007.4804,2976
Martin Flores,29,0,92,300,54.92,54.09,36,2970.6228,3312
Jhonattan Vegas,27,1,92,303.1,57.19,66.95,35,3828.8705,3220
Jamie Lovemark,26,3,92,303.2,56.92,62.76,29,3572.2992,2668
Ollie Schniederjans,27,3,91,301.7,52.28,50.57,25,2643.7996,2275
 ,27,3,91,308.2,58.73,62.55,28,3673.5615,2548
Rory Sabbatini,27,1,91,292.3,62.05,58.05,36,3602.0025,3276
Zach Johnson,24,2,90,290.1,63.38,45.3,42,2871.114,3780
Brian Harman,24,8,90,292.6,66.2,53.71,31,3555.602,2790
Ben Silverman,28,2,90,290.2,65.56,47.46,30,3111.4776,2700
Keegan Bradley,25,4,90,300.3,68.16,65.66,32,4475.3856,2880
Emiliano Grillo,24,6,90,294.7,69.82,58.16,25,4060.7312,2250
Sung Kang,29,2,89,293.1,56.72,52.24,31,2963.0528,2759
Troy Merritt,27,3,89,295.4,62.93,55.8,31,3511.494,2759
Chez Reavie,27,3,89,287.3,71.67,48.02,36,3441.5934,3204
Xander Schauffele,25,5,88,304.6,59.28,71.01,24,4209.4728,2112
Matt Kuchar,24,4,88,287.8,62.97,45.75,40,2880.8775,3520
Gary Woodland,25,3,88,313.2,62.69,77.46,34,4855.9674,2992
Danny Lee,30,3,88,290.6,62.65,60.08,28,3764.012,2464
Adam Hadwin,24,3,88,289.7,65.18,58.87,30,3837.1466,2640
Fabian Gomez,28,0,88,291.1,64.99,51.56,39,3350.8844,3432
Charley Hoffman,25,0,87,299.1,57.18,63.45,41,3628.071,3567
Tom Lovelady,28,2,87,315.9,54.73,73.6,41,4028.128,3567
Peter Malnati,28,0,87,290.9,56.86,48.53,30,2759.4158,2610
Webb Simpson,24,7,87,293.6,61.96,52.89,33,3277.0644,2871
Stewart Cink,25,3,87,298.1,57.6,54.15,45,3119.04,3915
Chad Campbell,28,2,87,286.5,64.7,41.53,38,2686.991,3306
Patrick Reed,24,7,86,299.3,54.11,66.34,28,3589.6574,2408
Seamus Power,28,2,86,302.6,55.19,57.02,31,3146.9338,2666
Adam Schenk,28,1,86,305.5,57.67,62.4,26,3598.608,2236
Marc Leishman,23,6,85,298.6,59.27,59.34,34,3517.0818,2890
Kevin Kisner,24,4,85,291.1,65.81,46.73,34,3075.3013,2890
Bryson DeChambeau,24,9,85,306.4,61.23,66.79,24,4089.5517,2040
James Hahn,26,1,85,298.7,63.73,57.48,32,3663.2004,2720
Kyle Stanley,24,5,85,296.2,71.45,56.58,30,4042.641,2550
Aaron Baddeley,27,1,84,295.5,52.18,55.6,37,2901.208,3108
Derek Fathauer,28,1,84,289.1,53.27,55.14,27,2937.3078,2268
Patton Kizzire,27,4,84,299,54.82,54.31,27,2977.2742,2268
